entity_relevance,entity_sentiment,entity_ticker,harvested_at,story_id
100.0,9.9,SBUX,2017-12-06T04:24:01.422Z,5a2770d8a656f23aa76b0f47
100.0,9.9,SBUX,2017-12-06T04:24:01.422Z,5a2770d8a656f23aa76b0f47
100.0,9.9,SBUX,2017-12-06T04:24:01.422Z,5a2770d8a656f23aa76b0f47
100.0,13.2,SBUX,2017-12-06T04:19:34.034Z,5a276fcca656f210a76b0fa1
100.0,13.2,SBUX,2017-12-06T04:19:34.034Z,5a276fcca656f210a76b0fa1
100.0,0.6,SBUX,2017-12-06T04:17:01.773Z,5a276f33a656f2777b6b0f6f
100.0,-7.1,SBUX,2017-12-06T04:14:47.501Z,5a276e9ea656f260056b0f9f
100.0,-7.1,SBUX,2017-12-06T04:14:47.501Z,5a276e9ea656f260056b0f9f
100.0,-2.1,TACO,2017-12-06T04:13:35.212Z,5a276e62a656f256fb6b0f9c
100.0,20.2,SBUX,2017-12-06T04:12:04.071Z,5a276e08a656f24a006b0f68
100.0,20.2,SBUX,2017-12-06T04:12:04.071Z,5a276e08a656f24a006b0f68
100.0,20.2,SBUX,2017-12-06T04:12:04.071Z,5a276e08a656f24a006b0f68
100.0,20.2,SBUX,2017-12-06T04:12:04.071Z,5a276e08a656f24a006b0f68
100.0,20.2,SBUX,2017-12-06T04:12:04.071Z,5a276e08a656f24a006b0f68
100.0,81.8,SBUX,2017-12-06T04:06:09.419Z,5a276ca1a656f215076b0f8c
100.0,81.8,SBUX,2017-12-06T04:06:09.419Z,5a276ca1a656f215076b0f8c
100.0,81.8,SBUX,2017-12-06T04:06:09.419Z,5a276ca1a656f215076b0f8c
100.0,81.8,SBUX,2017-12-06T04:06:09.419Z,5a276ca1a656f215076b0f8c
100.0,81.8,SBUX,2017-12-06T04:06:09.419Z,5a276ca1a656f215076b0f8c
100.0,81.8,SBUX,2017-12-06T04:06:09.419Z,5a276ca1a656f215076b0f8c
100.0,-75.0,SBUX,2017-12-06T04:03:41.035Z,5a276c0ba656f27a9a6b0f9e
100.0,-75.0,SBUX,2017-12-06T04:03:41.035Z,5a276c0ba656f27a9a6b0f9e
100.0,54.1,SBUX,2017-12-06T04:03:41.034Z,5a276c0ba656f27a9a6b0f9f
100.0,54.1,SBUX,2017-12-06T04:03:41.034Z,5a276c0ba656f27a9a6b0f9f
100.0,54.1,SBUX,2017-12-06T04:03:41.034Z,5a276c0ba656f27a9a6b0f9f
100.0,62.5,SBUX,2017-12-06T04:03:40.029Z,5a276c0ba656f27a9a6b0f9d
100.0,62.5,SBUX,2017-12-06T04:03:40.029Z,5a276c0ba656f27a9a6b0f9d
100.0,62.5,SBUX,2017-12-06T04:03:40.029Z,5a276c0ba656f27a9a6b0f9d
100.0,62.5,SBUX,2017-12-06T04:03:40.029Z,5a276c0ba656f27a9a6b0f9d
100.0,15.9,SBUX,2017-12-06T04:03:37.002Z,5a276c0ba656f27a9a6b0fa0
